472	277	1
473	277	1
474	277	1
475	277	1
476	277	1
477	277	1
478	277	1
479	277	1
480	277	1
481	277	1
482	277	1
483	277	1
484	277	1
485	277	1
486	277	1
487	277	1
488	277	1
489	277	1
490	277	1
491	277	1
492	277	1
493	277	1
494	277	1
495	277	1
496	277	1
497	277	1
498	277	1
499	277	1
500	277	1
501	277	1
502	277	1
503	277	1
504	277	1
505	277	1
506	277	1
460	278	1
461	278	1
462	278	1
463	278	1
464	278	1
465	278	1
466	278	1
467	278	1
468	278	1
469	278	1
470	278	1
471	278	1
472	278	1
506	278	1
507	278	1
508	278	1
509	278	1
510	278	1
511	278	1
512	278	1
513	278	1
514	278	1
515	278	1
516	278	1
517	278	1
518	278	1
452	279	1
453	279	1
454	279	1
455	279	1
456	279	1
457	279	1
458	279	1
459	279	1
460	279	1
518	279	1
519	279	1
520	279	1
521	279	1
522	279	1
523	279	1
524	279	1
525	279	1
526	279	1
445	280	1
446	280	1
447	280	1
448	280	1
449	280	1
450	280	1
451	280	1
452	280	1
526	280	1
527	280	1
528	280	1
529	280	1
530	280	1
531	280	1
532	280	1
533	280	1
439	281	1
440	281	1
441	281	1
442	281	1
443	281	1
444	281	1
445	281	1
533	281	1
534	281	1
535	281	1
536	281	1
537	281	1
538	281	1
539	281	1
434	282	1
435	282	1
436	282	1
437	282	1
438	282	1
439	282	1
539	282	1
540	282	1
541	282	1
542	282	1
543	282	1
544	282	1
430	283	1
431	283	1
432	283	1
433	283	1
434	283	1
544	283	1
545	283	1
546	283	1
547	283	1
548	283	1
425	284	1
426	284	1
427	284	1
428	284	1
429	284	1
430	284	1
548	284	1
549	284	1
550	284	1
551	284	1
552	284	1
553	284	1
421	285	1
422	285	1
423	285	1
424	285	1
425	285	1
553	285	1
554	285	1
555	285	1
556	285	1
557	285	1
418	286	1
419	286	1
420	286	1
421	286	1
557	286	1
558	286	1
559	286	1
560	286	1
414	287	1
415	287	1
416	287	1
417	287	1
418	287	1
560	287	1
561	287	1
562	287	1
563	287	1
564	287	1
411	288	1
412	288	1
413	288	1
414	288	1
564	288	1
565	288	1
566	288	1
567	288	1
407	289	1
408	289	1
409	289	1
410	289	1
411	289	1
567	289	1
568	289	1
569	289	1
570	289	1
571	289	1
404	290	1
405	290	1
406	290	1
407	290	1
571	290	1
572	290	1
573	290	1
574	290	1
402	291	1
403	291	1
404	291	1
574	291	1
575	291	1
576	291	1
577	291	1
399	292	1
400	292	1
401	292	1
402	292	1
577	292	1
578	292	1
579	292	1
396	293	1
397	293	1
398	293	1
399	293	1
579	293	1
580	293	1
581	293	1
582	293	1
394	294	1
395	294	1
396	294	1
582	294	1
583	294	1
584	294	1
585	294	1
391	295	1
392	295	1
393	295	1
394	295	1
585	295	1
586	295	1
587	295	1
389	296	1
390	296	1
391	296	1
587	296	1
588	296	1
589	296	1
590	296	1
386	297	1
387	297	1
388	297	1
389	297	1
590	297	1
591	297	1
592	297	1
384	298	1
385	298	1
386	298	1
592	298	1
593	298	1
594	298	1
595	298	1
382	299	1
383	299	1
384	299	1
595	299	1
596	299	1
597	299	1
379	300	1
380	300	1
381	300	1
382	300	1
597	300	1
598	300	1
599	300	1
377	301	1
378	301	1
379	301	1
599	301	1
600	301	1
601	301	1
602	301	1
375	302	1
376	302	1
377	302	1
602	302	1
603	302	1
604	302	1
373	303	1
374	303	1
375	303	1
604	303	1
605	303	1
606	303	1
371	304	1
372	304	1
373	304	1
606	304	1
607	304	1
608	304	1
369	305	1
370	305	1
371	305	1
608	305	1
609	305	1
610	305	1
367	306	1
368	306	1
369	306	1
610	306	1
611	306	1
612	306	1
365	307	1
366	307	1
367	307	1
612	307	1
613	307	1
614	307	1
363	308	1
364	308	1
365	308	1
614	308	1
615	308	1
616	308	1
362	309	1
363	309	1
616	309	1
617	309	1
360	310	1
361	310	1
362	310	1
617	310	1
618	310	1
619	310	1
358	311	1
359	311	1
360	311	1
619	311	1
620	311	1
621	311	1
356	312	1
357	312	1
358	312	1
621	312	1
622	312	1
623	312	1
355	313	1
356	313	1
623	313	1
624	313	1
353	314	1
354	314	1
355	314	1
624	314	1
625	314	1
626	314	1
351	315	1
352	315	1
353	315	1
626	315	1
627	315	1
628	315	1
350	316	1
351	316	1
628	316	1
629	316	1
348	317	1
349	317	1
350	317	1
629	317	1
630	317	1
631	317	1
346	318	1
347	318	1
348	318	1
631	318	1
632	318	1
633	318	1
345	319	1
346	319	1
633	319	1
634	319	1
343	320	1
344	320	1
345	320	1
634	320	1
635	320	1
636	320	1
342	321	1
343	321	1
636	321	1
637	321	1
340	322	1
341	322	1
342	322	1
637	322	1
638	322	1
639	322	1
339	323	1
340	323	1
639	323	1
640	323	1
337	324	1
338	324	1
339	324	1
640	324	1
641	324	1
642	324	1
336	325	1
337	325	1
642	325	1
643	325	1
334	326	1
335	326	1
336	326	1
643	326	1
644	326	1
645	326	1
333	327	1
334	327	1
645	327	1
646	327	1
332	328	1
333	328	1
646	328	1
647	328	1
330	329	1
331	329	1
